2026-04-26 14:21:11 [INFO] Nexus Active | ETHUSDT | M5
2026-04-26 14:21:45 [INFO] 2333.59 USDT | -0.01% | RSI: 76.4
2026-04-26 14:22:17 [INFO] 2333.95 USDT | 0.02% | RSI: 76.7
2026-04-26 14:22:49 [INFO] 2334.05 USDT | 0.00% | RSI: 76.8
2026-04-26 14:23:21 [INFO] 2334.76 USDT | 0.03% | RSI: 77.2
2026-04-26 14:23:53 [INFO] 2334.99 USDT | 0.01% | RSI: 77.4
2026-04-26 14:24:26 [INFO] 2336.18 USDT | 0.05% | RSI: 78.1
2026-04-26 14:24:58 [INFO] 2336.74 USDT | 0.02% | RSI: 78.4
2026-04-26 14:25:30 [INFO] 2337.68 USDT | 0.04% | RSI: 79.8
2026-04-26 14:26:02 [INFO] 2336.4 USDT | -0.05% | RSI: 79.0
2026-04-26 14:26:34 [INFO] 2337.53 USDT | 0.05% | RSI: 79.7
2026-04-26 14:27:06 [INFO] 2337.35 USDT | -0.01% | RSI: 79.6
2026-04-26 14:27:38 [INFO] 2336.73 USDT | -0.03% | RSI: 79.2
2026-04-26 14:28:10 [INFO] 2336.69 USDT | -0.00% | RSI: 79.2
2026-04-26 14:28:42 [INFO] 2336.54 USDT | -0.01% | RSI: 79.1
